"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"340","KAR",451,"KAR-15","15","Kårehamn",1.84717949528045e-05
"341","KAR",451,"KAR-16","16","Kårehamn",1.84717949528045e-05
"342","KAR",451,"KAR-18","18","Kårehamn",1.84717949528045e-05
"343","KAR",451,"KAR-20","20","Kårehamn",1.84717949528045e-05
"344","KAR",451,"KAR-01","01","Kårehamn",1.84717949528045e-05
"345","KAR",460,"KAR-03","03","Kårehamn",1.84717949528045e-05
"346","KAR",451,"KAR-07","07","Kårehamn",1.84717949528045e-05
"347","KAR",451,"KAR-11","11","Kårehamn",1.84717949528045e-05
"348","KAR",451,"KAR-17","17","Kårehamn",1.84717949528045e-05
"349","KAV",69,"KAV-01","01","Kämpersvik",1.84717949528045e-05
"350","KAV",71,"KAV-02","02","Kämpersvik",1.84717949528045e-05
"351","KAV",72,"KAV-03","03","Kämpersvik",1.84717949528045e-05
"352","KAV",75,"KAV-04","04","Kämpersvik",1.84717949528045e-05
"353","KAV",76,"KAV-05","05","Kämpersvik",1.84717949528045e-05
"354","KAV",77,"KAV-06","06","Kämpersvik",6.32770256589895e-05
"355","KAV",78,"KAV-07","07","Kämpersvik",6.32770256589895e-05
"356","KAV",79,"KAV-08","08","Kämpersvik",6.32770256589895e-05
"357","KAV",69,"KAV-09","09","Kämpersvik",6.32770256589895e-05
"358","KAV",79,"KAV-10","10","Kämpersvik",6.32770256589895e-05
"359","KAV",84,"KAV-11","11","Kämpersvik",6.32770256589895e-05
"360","KAV",84,"KAV-12","12","Kämpersvik",6.32770256589895e-05
"361","KAV",84,"KAV-13","13","Kämpersvik",6.32770256589895e-05
"362","KAV",85,"KAV-14","14","Kämpersvik",6.32770256589895e-05
"363","KAV",86,"KAV-15","15","Kämpersvik",6.32770256589895e-05
"364","KAV",87,"KAV-16","16","Kämpersvik",6.32770256589895e-05
"365","KAV",90,"KAV-17","17","Kämpersvik",6.32770256589895e-05
"366","KAV",90,"KAV-18","18","Kämpersvik",6.32770256589895e-05
"367","KAV",90,"KAV-19","19","Kämpersvik",6.32770256589895e-05
"368","KAV",90,"KAV-20","20","Kämpersvik",6.32770256589895e-05
"369","KIE",2,"KIE-01","01","Kiel",9.64458655333454e-05
"370","KIE",2,"KIE-02","02","Kiel",9.64458655333454e-05
"371","KIE",4,"KIE-03","03","Kiel",9.64458655333454e-05
"372","KIE",5,"KIE-04","04","Kiel",9.64458655333454e-05
"373","KIE",7,"KIE-05","05","Kiel",9.64458655333454e-05
"374","KIE",5,"KIE-06","06","Kiel",9.64458655333454e-05
"375","KIE",5,"KIE-08","08","Kiel",9.64458655333454e-05
"376","KIE",11,"KIE-09","09","Kiel",9.64458655333454e-05
"377","KIE",12,"KIE-10","10","Kiel",9.64458655333454e-05
"378","KIE",14,"KIE-11","11","Kiel",9.64458655333454e-05
"379","KIE",15,"KIE-12","12","Kiel",9.64458655333454e-05
"380","KIE",16,"KIE-13","13","Kiel",9.64458655333454e-05
"381","KIE",20,"KIE-14","14","Kiel",9.64458655333454e-05
"382","KIE",20,"KIE-15","15","Kiel",9.64458655333454e-05
"383","KIE",20,"KIE-16","16","Kiel",9.64458655333454e-05
"384","KIE",20,"KIE-17","17","Kiel",9.64458655333454e-05
"385","KIE",21,"KIE-18","18","Kiel",9.64458655333454e-05
"386","KIE",21,"KIE-19","19","Kiel",9.64458655333454e-05
