"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"gf","surv","cf","rel","full",-0.213277388810039,0.2411877347061,-0.287076555029128,0.111142306116444,-0.189242749758513,0.13997808360149,0.0454872445776287,FALSE,1,FALSE
"env","surv","cf","rel","full",-0.178026174441068,0.329650825925276,-0.348526855654319,0.0505933887448243,-0.235502088588371,0.0662628340995051,0.0316933187861215,FALSE,1,FALSE
"lea","surv","cg","rel","mll",0.171740374871412,0.347286035289632,-0.29687628406975,0.0989410564380593,-0.209920985793459,0.0968738716030267,0.0294947563609732,FALSE,1,FALSE
"rda","surv","cg","rel","mll",0.00334491601689581,0.985504113488636,0.0544120000524123,0.767402873897221,0.0246965865639364,0.845144121078094,1.11884631600854e-05,FALSE,1,FALSE
"gf","surv","cg","rel","mll",0.195122180433658,0.28453310125998,-0.225736270487711,0.214139792656392,-0.172876105947555,0.171554799316848,0.0380726652971849,FALSE,1,FALSE
"env","surv","cg","rel","mll",0.148026099770988,0.418793931481076,-0.294854216500234,0.101371580911118,-0.222269279075427,0.0787712171485044,0.0219117262134104,FALSE,1,FALSE
"lea","surv","cg","rel","full",0.176063954097972,0.335095823859586,-0.294486567851232,0.101818299429096,-0.214037083554115,0.0905021626475523,0.0309985159326126,FALSE,1,FALSE
"rda","surv","cg","rel","full",0.0998335972387021,0.586691632942358,0.29301597325522,0.103620053501222,0.197572692511491,0.118160164558699,0.00996674713761936,FALSE,1,FALSE
"gf","surv","cg","rel","full",0.192377436920577,0.291495326995958,-0.213236216421616,0.24128073590344,-0.15641171490493,0.216082229371084,0.0370090782361306,FALSE,1,FALSE
"env","surv","cg","rel","full",0.148026099770988,0.418793931481076,-0.294854216500234,0.101371580911118,-0.222269279075427,0.0787712171485044,0.0219117262134104,FALSE,1,FALSE
"lea","len","cf","abs","mll",-0.561109400417888,8.10854682277525e-18,-0.562829786728125,6.12874016521264e-18,-0.418214127926951,4.44033695183245e-16,0.314843759237322,TRUE,2.08695836736125e-14,TRUE
"rda","len","cf","abs","mll",-0.206500158322019,0.00351332953881061,-0.192358247536524,0.00662788090237167,-0.112498415030154,0.0288269007472799,0.0426423153870188,TRUE,0.907479441819057,FALSE
