"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"45","GAS",50,"GAS-07","07","seascape",45,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"46","GAS",51,"GAS-08","08","seascape",46,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"47","GAS",52,"GAS-09","09","seascape",47,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"48","GAS",53,"GAS-10","10","seascape",48,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"49","GAS",56,"GAS-11","11","seascape",49,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"50","GAS",56,"GAS-11","11","seascape",50,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"51","GAS",56,"GAS-11","11","seascape",51,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"52","GAS",56,"GAS-11","11","seascape",52,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"53","GAS",56,"GAS-11","11","seascape",53,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"54","GAS",56,"GAS-11","11","seascape",54,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"55","GAS",56,"GAS-11","11","seascape",55,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"56","GAS",56,"GAS-11","11","seascape",56,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"57","GAS",56,"GAS-11","11","seascape",57,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"58","GAS",66,"GAS-20","20","seascape",58,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"59","KAV",69,"KAV-01","01","seascape",59,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"60","KAV",69,"KAV-01","01","seascape",60,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"61","KAV",71,"KAV-02","02","seascape",61,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"62","KAV",72,"KAV-03","03","seascape",62,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"63","KAV",75,"KAV-04","04","seascape",63,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"64","KAV",76,"KAV-05","05","seascape",64,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"65","KAV",77,"KAV-06","06","seascape",65,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"66","KAV",78,"KAV-07","07","seascape",66,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"67","KAV",79,"KAV-08","08","seascape",67,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
